	Length
KATNA1	2308
KATNAL1	8105
KATNAL2	4783
KATNB1	4591
KATNBL1	7311
KATNBL1P1	748
KATNBL1P2	835
KATNBL1P3	909
KATNBL1P4	918
KATNBL1P5	517
KATNBL1P6	1466
KAZALD1	3613
KAZN	13841
KAZN-AS1	764
KBTBD11	6710
KBTBD11-OT1	7954
KBTBD12	5818
KBTBD13	3124
KBTBD2	4987
KBTBD3	5516
KBTBD4	3302
KBTBD6	5178
KBTBD7	4734
KBTBD8	4736
KC6	5180
KC877373.1	408
KC877392.1	426
KC877982.1	470
KCCAT198	549
KCMF1	7968
KCNA1	7985
KCNA10	1959
KCNA2	17379
KCNA3	2569
KCNA4	4195
KCNA5	2800
KCNA6	4237
KCNA7	4372
KCNAB1	6852
KCNAB1-AS1	456
KCNAB1-AS2	538
KCNAB2	9534
KCNAB3	4580
KCNB1	17733
KCNB2	3582
KCNC1	14417
KCNC2	6472
KCNC3	6277
KCNC4	25042
KCND1	5807
KCND2	5555
KCND3	7863
KCND3-AS1	777
KCND3-IT1	376
KCNE1	5713
KCNE1B	3649
KCNE2	1051
KCNE3	3677
KCNE4	4124
KCNE5	1473
KCNF1	2289
KCNG1	5437
KCNG2	2162
KCNG3	3824
KCNG4	6553
KCNH1	9812
KCNH1-IT1	626
KCNH2	5877
KCNH3	4340
KCNH4	3924
KCNH5	12320
KCNH6	4211
KCNH7	4974
KCNH8	6148
KCNIP1	3351
KCNIP2	3397
KCNIP2-AS1	850
KCNIP3	7870
KCNIP4	4256
KCNIP4-IT1	9848
KCNJ1	4637
KCNJ10	6575
KCNJ11	3204
KCNJ12	5617
KCNJ13	2977
KCNJ14	4340
KCNJ15	10342
KCNJ16	6340
KCNJ18	2196
KCNJ2	5577
KCNJ2-AS1	2442
KCNJ3	5067
KCNJ4	2065
KCNJ5	6109
KCNJ6	19965
KCNJ6-AS1	357
KCNJ8	2484
KCNJ9	4170
KCNK1	3627
KCNK10	8258
KCNK12	6685
KCNK13	2522
KCNK15	2599
KCNK15-AS1	1226
KCNK16	1860
KCNK17	2172
KCNK18	1155
KCNK2	3910
KCNK3	6223
KCNK4	2632
KCNK4-TEX40	2733
KCNK5	3756
KCNK6	6169
KCNK7	1563
KCNK9	6784
KCNMA1	35644
KCNMA1-AS1	7061
KCNMA1-AS2	457
KCNMA1-AS3	701
KCNMB1	6079
KCNMB2	3542
KCNMB2-AS1	1691
KCNMB3	8979
KCNMB3P1	3389
KCNMB4	4874
KCNN1	3981
KCNN2	6489
KCNN3	13598
KCNN4	3408
KCNQ1	4447
KCNQ1-AS1	1084
KCNQ1DN	1093
KCNQ1OT1	91667
KCNQ2	12775
KCNQ3	12646
KCNQ4	4381
KCNQ5	7570
KCNQ5-AS1	1101
KCNQ5-IT1	563
KCNRG	1625
KCNS1	4538
KCNS2	5348
KCNS3	3131
KCNT1	12183
KCNT2	7100
KCNU1	3969
KCNV1	6979
KCNV2	2186
KCP	8259
KCTD1	8882
KCTD10	9865
KCTD10P1	625
KCTD11	3056
KCTD12	6225
KCTD13	7260
KCTD14	1917
KCTD15	6388
KCTD16	14294
KCTD17	2786
KCTD18	4915
KCTD19	7383
KCTD2	5279
KCTD20	6239
KCTD21	4164
KCTD21-AS1	4095
KCTD3	4929
KCTD4	1865
KCTD5	3420
KCTD6	3068
KCTD7	7565
KCTD8	2704
KCTD9	4383
KCTD9P1	1167
KCTD9P2	1013
KCTD9P3	1169
KCTD9P4	1166
KCTD9P5	1170
KCTD9P6	950
KDELC1	2367
KDELC1P1	1509
KDELC2	4993
KDELR1	2251
KDELR2	3990
KDELR3	1929
KDF1	1793
KDM1A	5440
KDM1B	5596
KDM2A	10380
KDM2B	13623
KDM3A	13423
KDM3B	7961
KDM4A	5172
KDM4A-AS1	1931
KDM4B	14716
KDM4C	10323
KDM4D	2978
KDM4E	2339
KDM4F	1917
KDM5A	12091
KDM5B	25882
KDM5C	8727
KDM5C-IT1	755
KDM5D	9463
KDM5DP1	298
KDM6A	7139
KDM6B	7258
KDM7A	9430
KDM7A-DT	2457
KDM8	4039
KDR	6563
KDSR	9313
KEAP1	3761
KEL	3978
KERA	2162
KF455155.1	303
KF456110.1	385
KF456478.1	472
KF459542.1	553
KHDC1	3350
KHDC1L	953
KHDC1P1	508
KHDC3L	1018
KHDC4	5635
KHDRBS1	3588
KHDRBS2	2332
KHDRBS2-OT	673
KHDRBS3	8645
KHK	3060
KHNYN	8015
KHSRP	4563
KHSRPP1	1768
KIAA0040	4783
KIAA0087	4283
KIAA0100	9235
KIAA0232	8499
KIAA0319	7172
KIAA0319L	9629
KIAA0355	7459
KIAA0391	6982
KIAA0408	7229
KIAA0513	8837
KIAA0556	9784
KIAA0586	10184
KIAA0753	6299
KIAA0825	10403
KIAA0895	6728
KIAA0895L	4780
KIAA0895LP1	3016
KIAA0930	10019
KIAA1109	20470
KIAA1143	5259
KIAA1147	7356
KIAA1191	3973
KIAA1210	7824
KIAA1211	6745
KIAA1211L	4705
KIAA1217	10807
KIAA1257	9923
KIAA1324	9300
KIAA1324L	8115
KIAA1328	11127
KIAA1522	5965
KIAA1549	12427
KIAA1549L	13012
KIAA1551	6646
KIAA1586	3109
KIAA1614	10195
KIAA1614-AS1	1440
KIAA1671	16439
KIAA1755	8083
KIAA1841	7992
KIAA1958	13119
KIAA2012	7943
KIAA2012-AS1	3093
KIAA2013	3281
KIAA2026	7930
KIDINS220	15362
KIF11	4860
KIF12	3036
KIF13A	11126
KIF13B	11112
KIF14	7277
KIF15	5285
KIF16B	7721
KIF17	4470
KIF18A	4668
KIF18B	4655
KIF18BP1	2264
KIF19	5640
KIF1A	16695
KIF1B	17720
KIF1BP	5454
KIF1C	8580
KIF20A	3958
KIF20B	6851
KIF21A	10117
KIF21B	12150
KIF22	4312
KIF23	6576
KIF24	6131
KIF25	3466
KIF25-AS1	3088
KIF26A	6756
KIF26B	14403
KIF26B-AS1	810
KIF27	5140
KIF28P	3525
KIF2A	4774
KIF2B	2313
KIF2C	3646
KIF3A	6860
KIF3AP1	611
KIF3B	6103
KIF3C	6403
KIF4A	4533
KIF4B	4378
KIF4CP	1279
KIF5A	6261
KIF5B	5877
KIF5C	9215
KIF6	11868
KIF7	5001
KIF9	5850
KIF9-AS1	4898
KIFAP3	4978
KIFC1	3345
KIFC2	4447
KIFC3	9600
KIN	6844
KIR2DL1	1674
KIR2DL3	1590
KIR2DL4	1724
KIR2DP1	1331
KIR2DS4	1608
KIR3DL1	1871
KIR3DL2	1877
KIR3DL3	1691
KIR3DP1	628
KIR3DX1	5125
KIRREL1	7872
KIRREL1-IT1	587
KIRREL2	3382
KIRREL3	6594
KIRREL3-AS1	586
KIRREL3-AS2	494
KIRREL3-AS3	1768
KISS1	709
KISS1R	1680
KIT	5563
KITLG	6205
KIZ	5207
KIZ-AS1	5451
KL	5056
KLB	6082
KLC1	19251
KLC2	5479
KLC3	3654
KLC4	6421
KLF1	1611
KLF10	4003
KLF11	4589
KLF12	10923
KLF13	9409
KLF14	2942
KLF15	2848
KLF16	2955
KLF17	3131
KLF17P1	1126
KLF18	3159
KLF2	2018
KLF2P1	1042
KLF2P2	1039
KLF2P3	1087
KLF2P4	1225
KLF3	6297
KLF3-AS1	4830
KLF3P1	1022
KLF3P2	268
KLF4	3659
KLF4P1	1185
KLF5	3893
KLF6	6139
KLF7	9262
KLF7-IT1	655
KLF7P1	1048
KLF8	9022
KLF8P1	1061
KLF9	5175
KLHDC1	3006
KLHDC10	6622
KLHDC2	6841
KLHDC3	2019
KLHDC4	11177
KLHDC7A	5145
KLHDC7B	5133
KLHDC8A	3651
KLHDC8B	2158
KLHDC9	1720
KLHL1	4149
KLHL10	2370
KLHL11	2383
KLHL12	3552
KLHL13	6983
KLHL14	4992
KLHL15	6272
KLHL17	3395
KLHL18	7064
KLHL2	3872
KLHL20	4254
KLHL21	6901
KLHL22	4646
KLHL23	5509
KLHL24	8650
KLHL25	7219
KLHL26	4797
KLHL28	8076
KLHL29	11071
KLHL2P1	521
KLHL3	11854
KLHL30	3726
KLHL30-AS1	3106
KLHL31	5743
KLHL32	4124
KLHL33	5501
KLHL34	3641
KLHL35	5041
KLHL36	9995
KLHL38	1982
KLHL4	5818
KLHL40	2517
KLHL41	2620
KLHL42	7622
KLHL5	5144
KLHL6	10546
KLHL6-AS1	503
KLHL7	7066
KLHL7-DT	2564
KLHL8	7354
KLHL9	5710
KLK1	2378
KLK10	3853
KLK11	3113
KLK12	1769
KLK13	2007
KLK14	1189
KLK15	2289
KLK2	6394
KLK3	4639
KLK4	1935
KLK5	1653
KLK6	1976
KLK7	2434
KLK8	1865
KLK9	840
KLKB1	2953
KLKP1	1912
KLLN	4277
KLRA1P	2457
KLRB1	1448
KLRC1	2698
KLRC2	1499
KLRC3	1148
KLRC4	930
KLRC4-KLRK1	2592
KLRD1	17404
KLRF1	1260
KLRF2	731
KLRG1	2598
KLRG2	2197
KLRK1	3030
KMO	5946
KMT2A	31305
KMT2B	10279
KMT2C	20114
KMT2D	20485
KMT2E	9231
KMT2E-AS1	736
KMT5A	4579
KMT5B	8632
KMT5C	4775
KNCN	2810
KNDC1	7985
KNG1	4675
KNL1	10250
KNOP1	7761
KNOP1P1	989
KNOP1P2	1317
KNOP1P3	426
KNOP1P4	1438
KNOP1P5	1378
KNSTRN	3654
KNTC1	11325
KPNA1	8451
KPNA2	3140
KPNA2P1	1591
KPNA2P2	1489
KPNA2P3	848
KPNA3	4474
KPNA4	9413
KPNA5	11417
KPNA6	7480
KPNA7	1725
KPNB1	7678
KPRP	2492
KPTN	2124
KRAS	7302
KRASP1	552
KRBA1	5337
KRBA2	3701
KRBOX1	2943
KRBOX1-AS1	2134
KRBOX4	4120
KRCC1	1753
KREMEN1	7977
KREMEN2	2614
KRI1	4267
KRIT1	6204
KRR1	10749
KRR1P1	803
KRT1	2488
KRT10	2144
KRT12	2878
KRT125P	989
KRT126P	1181
KRT127P	433
KRT128P	663
KRT13	2913
KRT14	2281
KRT15	7069
KRT16	2475
KRT16P1	2373
KRT16P2	1500
KRT16P3	2351
KRT16P4	755
KRT16P5	522
KRT16P6	1906
KRT17	3130
KRT17P1	2183
KRT17P2	2145
KRT17P3	1262
KRT17P4	2964
KRT17P5	3157
KRT17P6	1553
KRT17P7	2625
KRT17P8	863
KRT18	3218
KRT18P1	1331
KRT18P10	1287
KRT18P11	1283
KRT18P12	1273
KRT18P13	1290
KRT18P14	1250
KRT18P15	1291
KRT18P16	1294
KRT18P17	1279
KRT18P18	1279
KRT18P19	705
KRT18P2	1258
KRT18P20	1279
KRT18P21	1272
KRT18P22	1347
KRT18P23	1283
KRT18P24	1156
KRT18P25	1278
KRT18P26	1281
KRT18P27	1299
KRT18P28	1332
KRT18P29	1267
KRT18P3	1288
KRT18P31	1292
KRT18P32	1287
KRT18P33	1043
KRT18P34	1270
KRT18P35	1269
KRT18P36	1276
KRT18P37	1282
KRT18P38	1282
KRT18P39	1299
KRT18P4	1288
KRT18P40	1571
KRT18P41	1277
KRT18P42	1255
KRT18P43	1281
KRT18P44	1285
KRT18P45	1333
KRT18P46	1279
KRT18P47	977
KRT18P48	852
KRT18P49	832
KRT18P5	1291
KRT18P50	1243
KRT18P51	746
KRT18P52	846
KRT18P53	117
KRT18P54	748
KRT18P55	2086
KRT18P56	550
KRT18P57	1254
KRT18P58	1120
KRT18P59	3338
KRT18P6	1265
KRT18P60	1297
KRT18P61	1298
KRT18P62	1287
KRT18P63	979
KRT18P64	1219
KRT18P65	1286
KRT18P66	1269
KRT18P67	1264
KRT18P68	1000
KRT18P7	1219
KRT18P8	1246
KRT18P9	1300
KRT19	2336
KRT19P1	1186
KRT19P2	1012
KRT19P3	828
KRT19P4	943
KRT19P6	209
KRT2	2522
KRT20	1846
KRT222	3169
KRT223P	1705
KRT23	2902
KRT24	1881
KRT25	1670
KRT26	1733
KRT27	1783
KRT28	1685
KRT3	2319
KRT31	1596
KRT32	1750
KRT33A	1287
KRT33B	1607
KRT34	1751
KRT35	1778
KRT36	1865
KRT37	1475
KRT38	2337
KRT39	1936
KRT4	3312
KRT40	2225
KRT41P	1293
KRT42P	4512
KRT43P	910
KRT5	4292
KRT6A	2928
KRT6B	2282
KRT6C	2896
KRT7	4093
KRT7-AS	1693
KRT71	2265
KRT72	2154
KRT73	2652
KRT73-AS1	4094
KRT74	2988
KRT75	2324
KRT76	2529
KRT77	3952
KRT78	3260
KRT79	2542
KRT8	6881
KRT80	4350
KRT81	1929
KRT82	2664
KRT83	1875
KRT84	2092
KRT85	2713
KRT86	2394
KRT87P	1778
KRT89P	1493
KRT8P1	1207
KRT8P10	1447
KRT8P11	1436
KRT8P12	2047
KRT8P13	1010
KRT8P14	1442
KRT8P15	1451
KRT8P17	1448
KRT8P18	1445
KRT8P19	1455
KRT8P2	944
KRT8P20	1409
KRT8P21	1491
KRT8P22	1415
KRT8P23	1207
KRT8P24	1559
KRT8P25	1456
KRT8P26	1276
KRT8P27	1457
KRT8P28	1390
KRT8P29	1371
KRT8P3	1449
KRT8P30	650
KRT8P31	1408
KRT8P32	1461
KRT8P33	1423
KRT8P34	1044
KRT8P35	1338
KRT8P36	1440
KRT8P37	1420
KRT8P38	1430
KRT8P39	1433
KRT8P4	1454
KRT8P40	563
KRT8P41	1514
KRT8P42	1399
KRT8P43	1458
KRT8P44	1350
KRT8P45	1447
KRT8P46	1426
KRT8P47	1398
KRT8P48	1220
KRT8P49	1432
KRT8P5	1458
KRT8P50	1438
KRT8P51	274
KRT8P6	1207
KRT8P7	1432
KRT8P8	1448
KRT8P9	1449
KRT9	2290
KRT90P	1064
KRTAP1-1	903
KRTAP1-3	972
KRTAP1-4	408
KRTAP1-5	1177
KRTAP10-1	1215
KRTAP10-10	1100
KRTAP10-11	1237
KRTAP10-12	873
KRTAP10-13P	571
KRTAP10-2	1149
KRTAP10-3	971
KRTAP10-4	2157
KRTAP10-5	1150
KRTAP10-6	1238
KRTAP10-7	1578
KRTAP10-8	876
KRTAP10-9	1171
KRTAP11-1	912
KRTAP12-1	588
KRTAP12-2	739
KRTAP12-3	410
KRTAP12-4	447
KRTAP12-6P	272
KRTAP13-1	749
KRTAP13-2	867
KRTAP13-3	704
KRTAP13-4	797
KRTAP13-5P	499
KRTAP13-6P	371
KRTAP15-1	671
KRTAP16-1	1554
KRTAP17-1	779
KRTAP19-1	646
KRTAP19-10P	187
KRTAP19-11P	104
KRTAP19-2	380
KRTAP19-3	522
KRTAP19-4	310
KRTAP19-5	461
KRTAP19-6	330
KRTAP19-7	440
KRTAP19-8	318
KRTAP19-9P	191
KRTAP2-1	776
KRTAP2-2	733
KRTAP2-3	875
KRTAP2-4	764
KRTAP2-5P	396
KRTAP20-1	275
KRTAP20-2	384
KRTAP20-3	273
KRTAP20-4	224
KRTAP21-1	599
KRTAP21-2	440
KRTAP21-3	253
KRTAP21-4P	816
KRTAP22-1	296
KRTAP22-2	293
KRTAP23-1	211
KRTAP24-1	1650
KRTAP25-1	370
KRTAP26-1	1193
KRTAP27-1	682
KRTAP29-1	1026
KRTAP3-1	725
KRTAP3-2	702
KRTAP3-3	704
KRTAP3-4P	280
KRTAP4-1	1241
KRTAP4-11	1180
KRTAP4-12	1077
KRTAP4-16	708
KRTAP4-17P	193
KRTAP4-2	763
KRTAP4-3	964
KRTAP4-4	1081
KRTAP4-5	879
KRTAP4-6	1055
KRTAP4-7	992
KRTAP4-8	1161
KRTAP4-9	1157
KRTAP5-1	942
KRTAP5-10	1176
KRTAP5-11	1522
KRTAP5-14P	121
KRTAP5-2	1118
KRTAP5-3	899
KRTAP5-4	1181
KRTAP5-5	933
KRTAP5-6	561
KRTAP5-7	1408
KRTAP5-8	1183
KRTAP5-9	1136
KRTAP5-AS1	2931
KRTAP6-1	500
KRTAP6-2	313
KRTAP6-3	636
KRTAP7-1	721
KRTAP8-1	556
KRTAP8-2P	186
KRTAP8-3P	188
KRTAP9-1	753
KRTAP9-10P	207
KRTAP9-11P	525
KRTAP9-12P	532
KRTAP9-2	1005
KRTAP9-3	992
KRTAP9-4	967
KRTAP9-6	1303
KRTAP9-7	1039
KRTAP9-8	960
KRTAP9-9	981
KRTCAP2	3826
KRTCAP3	1403
KRTDAP	661
KSR1	12178
KSR1P1	240
KSR2	18294
KTI12	1714
KTN1	17575
KTN1-AS1	3595
KU-MEL-3	1143
KXD1	4112
KY	5786
KYAT1	3624
KYAT3	2306
KYNU	17600
KYNUP1	1406
KYNUP2	1329
KYNUP3	1341
L1CAM	7270
L1TD1	3849
L29074.1	534
L2HGDH	6879
L34079.1	393
L34079.2	561
L34079.3	546
L3HYPDH	3504
L3MBTL1	15550
L3MBTL2	6451
L3MBTL3	5113
L3MBTL4	7959
L3MBTL4-AS1	2044
LACC1	4550
LACRT	882
LACTB	3972
LACTB2	1931
LACTB2-AS1	5450
LACTBL1	1641
LAD1	3482
LAG3	3056
LAGE3	949
LAGE3P1	484
LAIR1	8071
LAIR2	1078
LALBA	1247
LAMA1	15872
LAMA2	10358
LAMA3	14678
LAMA4	11575
LAMA5	14291
LAMA5-AS1	843
LAMB1	8140
LAMB2	6865
LAMB3	4688
LAMB4	7016
LAMC1	8406
LAMC1-AS1	479
LAMC2	6543
LAMC3	7594
LAMP1	5739
LAMP2	5526
LAMP3	3816
LAMP5	2042
LAMP5-AS1	1928
LAMTOR1	2778
LAMTOR2	1438
LAMTOR3	4226
LAMTOR3P1	370
LAMTOR3P2	232
LAMTOR4	1936
LAMTOR5	2388
LAMTOR5-AS1	10755
LAMTOR5P1	270
LANCL1	5254
LANCL1-AS1	1667
LANCL2	5235
LANCL3	10298
LAP3	3785
LAP3P1	294
LAP3P2	1454
LAPTM4A	1946
LAPTM4B	3197
LAPTM4BP1	690
LAPTM4BP2	446
LAPTM5	3274
LARGE-AS1	2929
LARGE-IT1	558
LARGE1	10687
LARGE2	3115
LARP1	8492
LARP1B	9498
LARP1BP1	1359
LARP1BP2	519
LARP1BP3	869
LARP1P1	292
LARP4	8112
LARP4B	12836
LARP4P	2177
LARP6	5554
LARP7	4083
LARP7P1	316
LARP7P2	125
LARP7P3	337
LARP7P4	878
LARS	8118
LARS2	6829
LARS2-AS1	575
LAS1L	5589
LASP1	7061
LAT	4430
LAT2	4545
LATS1	8643
LATS2	5578
LATS2-AS1	632
LAX1	3198
LAYN	3144
LBH	4697
LBHD1	3362
LBHD2	732
LBP	1961
LBR	5257
LBX1	2900
LBX1-AS1	3448
LBX2	2389
LBX2-AS1	2084
LCA10	1392
LCA5	5964
LCA5L	5841
LCAT	2625
LCE1A	422
LCE1B	1139
LCE1C	692
LCE1D	430
LCE1E	1299
LCE1F	357
LCE2A	592
LCE2B	612
LCE2C	614
LCE2D	609
LCE3A	270
LCE3B	288
LCE3C	425
LCE3D	613
LCE3E	611
LCE4A	680
LCE5A	819
LCE6A	628
LCEP1	308
LCEP2	351
LCEP4	325
LCK	3339
LCLAT1	7517
LCMT1	2606
LCMT1-AS1	1168
LCMT1-AS2	7990
LCMT2	6957
LCN1	781
LCN10	4263
LCN12	2819
LCN15	2887
LCN1P1	505
LCN1P2	223
LCN2	1598
LCN6	1681
LCN8	3038
LCN9	1105
LCNL1	4052
LCOR	26020
LCORL	14858
LCP1	5061
LCP2	7244
LCT	6586
LCTL	3518
LDAH	4433
LDB1	2790
LDB2	5586
LDB3	6676
LDHA	6210
LDHAL6A	2586
LDHAL6B	1693
LDHAL6CP	3350
LDHAL6DP	693
LDHAL6EP	1143
LDHAL6FP	1082
LDHAP1	992
LDHAP2	985
LDHAP3	1008
LDHAP4	998
LDHAP5	622
LDHAP7	965
LDHB	2983
LDHBP1	1119
LDHBP2	1005
LDHBP3	822
LDHC	2095
LDHD	2359
LDLR	7718
LDLRAD1	2375
LDLRAD2	4490
LDLRAD3	4575
LDLRAD4	16759
LDLRAD4-AS1	2190
LDLRAP1	5397
LDOC1	1381
LEAP2	2405
LECT2	2175
LEF1	5361
LEF1-AS1	4799
LEFTY1	1891
LEFTY2	2392
LEKR1	5602
LELP1	523
LEMD1	2199
LEMD1-AS1	2781
LEMD2	6788
LEMD3	5562
LENEP	730
LENG1	1542
LENG8	6469
LENG8-AS1	1248
LENG9	1916
LEO1	2679
LEP	3420
LEPR	11370
LEPROT	5237
LEPROTL1	5421
LETM1	8184
LETM1P2	2178
LETM2	6114
LETMD1	6032
LEUTX	748
LEXM	1777
LFNG	3418
LGALS1	1099
LGALS12	2270
LGALS13	711
LGALS14	1079
LGALS16	679
LGALS17A	2570
LGALS2	828
LGALS3	2397
LGALS3BP	3584
LGALS4	2645
LGALS7	795
LGALS7B	644
LGALS8	9710
LGALS8-AS1	1457
LGALS9	5714
LGALS9B	2670
LGALS9C	4754
LGALS9DP	764
LGALSL	4003
LGALSL-DT	895
LGI1	11108
LGI2	6428
LGI3	4514
LGI4	4532
LGMN	3899
LGMNP1	1300
LGR4	6340
LGR5	5251
LGR6	4583
LGSN	5823
LHB	630
LHCGR	4999
LHFPL1	1750
LHFPL2	7977
LHFPL3	1900
LHFPL3-AS1	3039
LHFPL3-AS2	2375
LHFPL4	5329
LHFPL5	2727
LHFPL6	4564
LHPP	4064
LHX1	4882
LHX1-DT	2544
LHX2	2655
LHX3	3824
LHX4	6061
LHX5	3125
LHX5-AS1	522
LHX6	5748
LHX8	3977
LHX9	10442
LIAS	11735
LIF	3969
LIF-AS1	808
LIFR	11864
LIFR-AS1	5098
LIG1	6576
LIG3	12919
LIG4	4387
LILRA1	3587
LILRA2	5349
LILRA4	2171
LILRA5	1760
LILRA6	2718
LILRB1	5008
LILRB1-AS1	554
LILRB2	3810
LILRB3	3736
LILRB4	6328
LILRB5	7017
LILRP1	1370
LILRP2	2127
LIM2	988
LIMA1	6317
LIMCH1	10862
LIMD1	12673
LIMD1-AS1	1651
LIMD2	4745
LIME1	2550
LIMK1	6902
LIMK2	6170
LIMS1	7771
LIMS1-AS1	477
LIMS2	8487
LIMS3	2773
LIMS4	2553
LIN28A	4008
LIN28AP1	405
LIN28AP2	458
LIN28B	6002
LIN28B-AS1	2860
LIN37	2820
LIN52	3692
LIN54	6768
LIN7A	6795
LIN7B	1753
LIN7C	4688
LIN9	4442
LINC-PINT	9030
LINC-ROR	3891
LINC00028	587
LINC00029	1790
LINC00032	3855
LINC00051	1046
LINC00052	1966
LINC00092	4849
LINC00102	1340
LINC00106	592
LINC00111	575
LINC00112	522
LINC00113	611
LINC00114	1972
LINC00115	1317
LINC00158	2027
LINC00159	572
LINC00160	693
LINC00161	870
LINC00163	2155
LINC00165	824
LINC00167	1419
LINC00173	2065
LINC00174	11354
LINC00184	2270
LINC00189	1087
LINC00200	2911
LINC00205	7619
LINC00207	914
LINC00208	2150
LINC00210	1584
LINC00211	2595
LINC00216	1126
LINC00221	3086
LINC00222	3311
LINC00226	1078
LINC00229	500
LINC00235	2253
LINC00237	1735
LINC00239	639
LINC00240	6481
LINC00242	4496
LINC00243	2171
LINC00244	613
LINC002481	1821
LINC00251	2043
LINC00254	713
LINC00261	5552
LINC00265	3115
LINC00265-2P	782
LINC00265-3P	903
LINC00266-1	1438
LINC00266-2P	454
LINC00266-4P	1192
LINC00269	2173
LINC00271	3825
LINC00272	740
LINC00273	1452
LINC00276	3848
LINC00278	775
LINC00279	473
LINC00280	448
LINC00283	1947
LINC00284	5160
LINC00290	593
LINC00293	1914
LINC00294	3306
LINC00297	913
LINC00298	2610
LINC00299	4418
LINC00301	1977
LINC00303	1891
LINC00304	3961
LINC00305	1035
LINC00307	424
LINC00308	727
LINC00309	3878
LINC00310	3280
LINC00311	1566
LINC00313	2303
LINC00314	607
LINC00315	2323
LINC00316	455
LINC00317	612
LINC00319	4222
LINC00320	2325
LINC00322	699
LINC00323	2439
LINC00324	2082
LINC00326	2515
LINC00327	3266
LINC00328-2P	219
LINC00330	2036
LINC00331	376
LINC00332	834
LINC00333	613
LINC00334	1764
LINC00336	2107
LINC00337	2358
LINC00339	3764
LINC00342	2618
LINC00343	4957
LINC00345	1966
LINC00346	6265
LINC00347	3957
LINC00348	948
LINC00349	841
LINC00350	1112
LINC00351	911
LINC00352	552
LINC00353	685
LINC00354	590
LINC00355	2448
LINC00358	1276
LINC00362	264
LINC00363	210
LINC00364	611
LINC00365	2998
LINC00366	435
LINC00368	650
LINC00370	1337
LINC00374	800
LINC00375	601
LINC00376	693
LINC00377	657
LINC00378	481
LINC00379	545
LINC00380	353
LINC00381	1505
LINC00382	890
LINC00383	1882
LINC00384	6852
LINC00385	374
LINC00387	458
LINC00388	663
LINC00390	340
LINC00391	1844
LINC00392	557
LINC00393	5026
LINC00395	669
LINC00396	439
LINC00397	634
LINC00398	906
LINC00399	414
LINC00400	547
LINC00402	3340
LINC00404	428
LINC00407	295
LINC00408	560
LINC00410	2018
LINC00411	461
LINC00412	420
LINC00415	435
LINC00421	1054
LINC00423	903
LINC00424	680
LINC00426	3972
LINC00427	430
LINC00428	227
LINC00430	776
LINC00431	1189
LINC00433	1055
LINC00434	419
LINC00437	791
LINC00440	734
LINC00442	2178
LINC00443	1170
LINC00445	756
LINC00446	670
LINC00448	748
LINC00449	872
LINC00452	3578
LINC00454	2234
LINC00456	692
LINC00457	744
LINC00458	2444
LINC00459	376
LINC00460	4232
LINC00461	6174
LINC00462	962
LINC00463	1147
LINC00466	4490
LINC00467	4448
LINC00469	1268
LINC00470	4063
LINC00471	1282
LINC00472	3443
LINC00474	769
LINC00475	3858
LINC00476	5100
LINC00477	1710
LINC00479	2114
LINC00482	2197
LINC00484	4681
LINC00485	3722
LINC00486	3187
LINC00487	2202
LINC00488	3613
LINC00489	543
LINC00491	1227
LINC00492	593
LINC00494	4204
LINC00498	455
LINC00499	1350
LINC00500	539
LINC00501	2046
LINC00502	1000
LINC00504	5095
LINC00506	5011
LINC00507	2167
LINC00508	194
LINC00511	27605
LINC00513	1616
LINC00514	4284
LINC00517	4125
LINC00518	1895
LINC00519	682
LINC00520	3482
LINC00523	3311
LINC00524	418
LINC00525	1188
LINC00526	1875
LINC00528	2160
LINC00529	241
LINC00533	537
LINC00534	1354
LINC00535	2595
LINC00536	2692
LINC00538	1906
LINC00539	1859
LINC00540	2721
LINC00543	1845
LINC00544	1502
LINC00545	411
LINC00547	3314
LINC00550	3614
LINC00551	1668
LINC00552	2579
LINC00554	3011
LINC00555	442
LINC00556	412
LINC00557	1279
LINC00558	3163
LINC00559	4067
LINC00560	1599
LINC00561	2738
LINC00562	2470
LINC00563	1400
LINC00564	1119
LINC00565	2331
LINC00566	570
LINC00567	3409
LINC00570	1650
LINC00571	1183
LINC00572	575
LINC00574	2318
LINC00575	910
LINC00578	1234
LINC00581	990
LINC00582	597
LINC00583	387
LINC00587	590
LINC00588	1875
LINC00589	2074
LINC00592	1457
LINC00595	9354
LINC00596	937
LINC00598	18352
LINC00599	4136
LINC00601	1168
LINC00602	2065
LINC00603	936
LINC00604	885
LINC00605	1558
LINC00606	2960
LINC00607	5628
LINC00608	4023
LINC00609	583
LINC00612	2213
LINC00613	546
LINC00615	1406
LINC00616	2365
LINC00618	700
LINC00620	1021
LINC00621	1177
LINC00622	1570
LINC00623	2075
LINC00624	5564
LINC00626	955
LINC00628	1289
LINC00629	909
LINC00630	4077
LINC00632	28876
LINC00634	1521
LINC00635	4547
LINC00636	1443
LINC00637	2056
LINC00638	2518
LINC00639	4860
LINC00640	1568
LINC00641	5715
LINC00642	2068
LINC00643	4637
LINC00644	295
LINC00645	3654
LINC00648	3043
LINC00649	14336
LINC00652	3859
LINC00654	6294
LINC00656	1896
LINC00658	2575
LINC00659	540
LINC00661	4140
LINC00662	7958
LINC00663	4334
LINC00664	5889
LINC00665	7201
LINC00667	6652
LINC00668	4866
LINC00670	3410
LINC00671	2167
LINC00672	3692
LINC00674	734
